Area,Price
6780,700672
6800,702476
6820,703106
6840,703712
6860,705465
6880,708482
6900,711717
6920,713925
6940,714804
6960,715274
6980,716632
7000,719357
7020,722673
7040,725259
7060,726467
7080,726913
7100,727917
7120,730284
7140,733566
7160,736474
7180,738063
7200,738601
7220,739321
7240,741290
7260,744426
7280,747575
7300,749569
7320,750304
7340,750833
7360,752397
7380,755288
7400,758575
7420,760965
7440,761990
7460,762435
7480,763620
7500,766184
7520,769498
7540,772244
7560,773625
7580,774100
7600,774961
7620,777144
7640,780371
7660,783403
7680,785182
7700,785799
7720,786417
7740,788196
7760,791228
7780,794455
7800,796638
7820,797499
7840,797974
7860,799355
7880,802101
7900,805416
7920,807979
7940,809164
7960,809609
7980,810634
8000,813024
8020,816311
8040,819202
8060,820766
8080,821295
8100,822030
8120,824025
8140,827173
8160,830309
8180,832278
8200,832998
8220,833536
8240,835125
8260,838033
8280,841315
8300,843682
8320,844686
8340,845132
8360,846340
8380,848926
8400,852242
8420,854967
8440,856325
8460,856795
8480,857674
8500,859882
8520,863117
8540,866134
8560,867887
8580,868493
8600,869123
8620,870927
8640,873974
8660,877192
8680,879350
8700,880193
8720,880674
8740,882080
8760,884846
8780,888158
8800,890699
8820,891862
8840,892305
8860,893350
8880,895764
8900,899057
8920,901929
8940,903468
8960,903988
8980,904739
9000,906759
9020,909919
9040,913043
9060,914986
9080,915692
9100,916239
9120,917853
9140,920779
9160,924055
9180,926397
9200,927381
9220,927830
9240,929060
9260,931669
9280,934986
9300,937690
9320,939024
9340,939490
9360,940387
9380,942620
9400,945864
9420,948865
9440,950592
9460,951186
9480,951829
9500,953659
9520,956721
9540,959929
9560,962062
9580,962887
9600,963375
9620,964804
9640,967590
9660,970900
9680,973418
9700,974559
9720,975001
9740,976067
9760,978505
9780,981802
9800,984655
9820,986170
9840,986682
9860,987449
9880,989494
9900,992666
9920,995776
9940,997694
9960,998385
9980,998942
10000,1000581
10020,1003525
10040,1006794
10060,1009112
10080,1010077
10100,1010529
10120,1011781
10140,1014411
10160,1017729
10180,1020413
10200,1021724
10220,1022184
10240,1023101
10260,1025358
10280,1028610
10300,1031595
10320,1033297
10340,1033880
10360,1034536
10380,1036391
10400,1039467
10420,1042665
10440,1044773
10460,1045582
10480,1046075
10500,1047529
10520,1050335
10540,1053641
10560,1056137
10580,1057256
10600,1057698
10620,1058785
10640,1061246
10660,1064547
10680,1067381
10700,1068872
10720,1069376
10740,1070160
10760,1072230
10780,1075412
10800,1078509
10820,1080402
10840,1081079
10860,1081646
10880,1083310
10900,1086270
10920,1089533
10940,1091827
10960,1092772
10980,1093227
11000,1094503
11020,1097155
11040,1100473
11060,1103135
11080,1104422
11100,1104879
11120,1105815
11140,1108097
11160,1111356
11180,1114324
11200,1116001
11220,1116573
11240,1117243
11260,1119123
11280,1122213
11300,1125401
11320,1127484
11340,1128276
11360,1128776
11380,1130255
11400,1133080
11420,1136383
11440,1138855
11460,1139953
11480,1140394
11500,1141503
11520,1143987
11540,1147292
11560,1150107
11580,1151573
11600,1152070
11620,1152870
11640,1154966
11660,1158159
11680,1161242
11700,1163109
11720,1163772
11740,1164350
11760,1166040
11780,1169016
11800,1172272
11820,1174541
11840,1175467
11860,1175926
11880,1177225
11900,1179898
11920,1183216
11940,1185857
11960,1187121
11980,1187575
12000,1188529
12020,1190835
12040,1194102
12060,1197053
12080,1198705
12100,1199267
12120,1199951
12140,1201856
12160,1204960
12180,1208137
12200,1210195
12220,1210970
12240,1211478
12260,1212981
12280,1215825
12300,1219124
12320,1221573
12340,1222649
12360,1223091
12380,1224221
12400,1226729
12420,1230037
12440,1232832
12460,1234274
12480,1234764
12500,1235581
12520,1237702
12540,1240905
12560,1243975
12580,1245816
12600,1246466
12620,1247054
12640,1248769
12660,1251762
12680,1255010
12700,1257255
12720,1258162
12740,1258625
12760,1259947
12780,1262642
12800,1265959
12820,1268578
12840,1269819
12860,1270270
12880,1271244
12900,1273575
12920,1276847
12940,1279782
12960,1281409
12980,1281960
13000,1282658
13020,1284589
13040,1287706
13060,1290872
13080,1292905
13100,1293664
13120,1294180
13140,1295707
13160,1298570
13180,1301864
13200,1304290
13220,1305346
13240,1305788
13260,1306940
13280,1309470
13300,1312781
13320,1315557
13340,1316975
13360,1317459
13380,1318293
13400,1320439
13420,1323652
13440,1326706
13460,1328523
13480,1329159
13500,1329759
13520,1331499
13540,1334509
13560,1337748
13580,1339969
13600,1340857
13620,1341324
13640,1342670
13660,1345385
13680,1348702
13700,1351299
13720,1352518
13740,1352966
13760,1353960
13780,1356314
13800,1359593
13820,1362510
13840,1364112
13860,1364654
13880,1365367
13900,1367323
13920,1370453
13940,1373607
13960,1375614
13980,1376357
14000,1376882
14020,1378434
14040,1381315
14060,1384605
14080,1387007
14100,1388042
14120,1388486
14140,1389660
14160,1392212
14180,1395526
14200,1398282
14220,1399675
14240,1400153
14260,1401005
14280,1403176
14300,1406398
14320,1409438
14340,1411229
14360,1411853
14380,1412464
14400,1414230
14420,1417255
14440,1420486
14460,1422682
14480,1423551
14500,1424024
14520,1425394
14540,1428129
14560,1431444
14580,1434019
14600,1435215
14620,1435661
14640,1436675
14660,1439054
14680,1442339
14700,1445238
14720,1446815
14740,1447348
14760,1448076
14780,1450057
14800,1453200
14820,1456342
14840,1458323
14860,1459051
14880,1459584
14900,1461161
14920,1464060
14940,1467345
14960,1469724
14980,1470738
15000,1471183
15020,1472380
15040,1474955
15060,1478270
15080,1481005
15100,1482375
15120,1482848
15140,1483717
15160,1485913
15180,1489144
15200,1492169
15220,1493934
15240,1494546
15260,1495170
15280,1496961
15300,1500001
15320,1503223
15340,1505394
15360,1506246
15380,1506724
15400,1508117
15420,1510874
15440,1514187
15460,1516739
15480,1517913
15500,1518357
15520,1519392
15540,1521794
15560,1525084
15580,1527965
15600,1529517
15620,1530041
15640,1530785
15660,1532792
15680,1535946
15700,1539076
15720,1541032
15740,1541745
15760,1542287
15780,1543889
15800,1546806
15820,1550085
15840,1552439
15860,1553433
15880,1553881
15900,1555100
15920,1557697
15940,1561014
15960,1563729
15980,1565075
16000,1565542
16020,1566430
16040,1568651
16060,1571891
16080,1574900
16100,1576640
16120,1577240
16140,1577876
16160,1579693
16180,1582747
16200,1585960
16220,1588106
16240,1588940
16260,1589424
16280,1590842
16300,1593618
16320,1596929
16340,1599459
16360,1600610
16380,1601053
16400,1602109
16420,1604535
16440,1607829
16460,1610692
16480,1612219
16500,1612735
16520,1613494
16540,1615527
16560,1618693
16580,1621810
16600,1623740
16620,1624438
16640,1624990
16660,1626617
16680,1629552
16700,1632824
16720,1635155
16740,1636129
16760,1636579
16780,1637821
16800,1640440
16820,1643758
16840,1646452
16860,1647774
16880,1648237
16900,1649144
16920,1651389
16940,1654637
16960,1657630
16980,1659345
17000,1659933
17020,1660583
17040,1662425
17060,1665494
17080,1668697
17100,1670818
17120,1671634
17140,1672125
17160,1673567
17180,1676362
17200,1679670
17220,1682178
17240,1683307
17260,1683750
17280,1684826
17300,1687276
17320,1690575
17340,1693418
17360,1694921
17380,1695429
17400,1696204
17420,1698262
17440,1701439
17460,1704543
17480,1706448
17500,1707132
17520,1707694
17540,1709346
17560,1712298
17580,1715564
17600,1717870
17620,1718824
17640,1719278
17660,1720542
17680,1723183
17700,1726501
17720,1729174
17740,1730473
17760,1730932
17780,1731858
17800,1734127
17820,1737383
17840,1740360
17860,1742049
17880,1742627
17900,1743289
17920,1745157
17940,1748240
17960,1751433
17980,1753529
18000,1754329
18020,1754826
18040,1756292
18060,1759107
18080,1762412
18100,1764896
18120,1766004
18140,1766446
18160,1767544
18180,1770017
18200,1773320
18220,1776144
18240,1777622
18260,1778123
18280,1778915
18300,1780998
18320,1784186
18340,1787276
18360,1789156
18380,1789825
18400,1790398
18420,1792075
18440,1795043
18460,1798303
18480,1800584
18500,1801519
18520,1801976
18540,1803264
18560,1805926
18580,1809245
18600,1811896
18620,1813172
18640,1813627
18660,1814572
18680,1816866
18700,1820129
18720,1823089
18740,1824753
18760,1825320
18780,1825997
18800,1827890
18820,1830987
18840,1834169
18860,1836239
18880,1837023
18900,1837527
18920,1839018
18940,1841852
18960,1845153
18980,1847614
19000,1848701
19020,1849143
19040,1850262
19060,1852758
19080,1856064
19100,1858870
19120,1860324
19140,1860817
19160,1861626
19180,1863734
19200,1866932
19220,1870008
19240,1871863
19260,1872519
19280,1873102
19300,1874804
19320,1877789
19340,1881041
19360,1883298
19380,1884214
19400,1884675
19420,1885986
19440,1888670
19460,1891988
19480,1894618
19500,1895870
19520,1896322
19540,1897287
19560,1899605
19580,1902875
19600,1905818
19620,1907457
19640,1908014
19660,1908704
19680,1910623
19700,1913733
19720,1916905
19740,1918950
19760,1919717
19780,1920229
19800,1921744
19820,1924597
19840,1927894
19860,1930332
19880,1931397
19900,1931840
19920,1932981
19940,1935500
19960,1938809
19980,1941595
20000,1943024
20020,1943511
20040,1944337
20060,1946470
20080,1949679
20100,1952741
20120,1954570
20140,1955212
20160,1955807
20180,1957534
20200,1960536
20220,1963779
20240,1966012
20260,1966909
20280,1967375
20300,1968709
20320,1971413
20340,1974731
20360,1977339
20380,1978569
20400,1979018
20420,1980002
20440,1982344
20460,1985620
20480,1988546
20500,1990160
20520,1990707
20540,1991413
20560,1993356
20580,1996480
