Size_SQFT,Bedrooms,Bathrooms,Age_Years,Distance_Subway_Miles,School_Rating,House_Price_K
2204,1,1.0,51,1.03,7,316.99
2254,5,4.0,28,2.19,3,412.17
2055,4,2.6,19,1.81,3,334.56
948,2,1.6,29,0.43,3,193.44
2084,5,4.0,56,2.3,9,394.4
2136,2,1.2,49,2.82,1,284.08
3577,1,1.0,4,1.37,5,502.4
1984,5,4.0,53,3.94,9,351.29
2280,4,3.0,5,2.29,7,440.36
2079,3,2.6,41,1.36,1,340.1
1398,5,3.4,59,3.55,4,247.1
2785,5,3.2,50,1.38,6,485.0
2551,5,4.0,9,1.1,5,487.01
2574,5,3.5,5,0.66,2,474.35
1554,4,2.2,9,3.22,1,285.62
2941,4,2.6,41,0.2,4,456.65
1258,3,2.9,20,0.96,10,320.1
2452,4,3.5,43,1.16,5,430.25
3414,4,2.4,55,1.21,4,508.83
1505,1,1.0,3,1.58,3,252.94
1760,1,1.0,12,1.06,10,312.57
2159,2,2.0,57,0.45,8,339.7
1797,3,2.2,9,2.92,6,328.57
1169,1,1.0,15,1.61,3,187.13
2141,3,1.9,18,2.93,6,353.64
1462,3,2.1,5,0.48,10,333.16
2384,5,4.0,25,1.52,8,458.63
1548,3,2.3,8,1.88,7,323.98
3029,5,3.6,45,0.73,1,490.94
1630,2,1.8,55,2.51,6,259.9
1906,2,1.5,9,0.1,1,291.31
2588,2,2.0,39,1.36,4,390.01
1361,5,3.4,2,1.43,10,354.79
2236,5,3.9,48,1.14,3,400.81
2884,2,1.9,18,1.49,7,439.88
1135,5,4.0,34,0.27,2,298.03
2210,4,2.5,45,1.73,4,367.27
2255,4,2.9,59,0.61,5,368.97
2569,5,3.1,5,0.9,2,450.94
1357,5,3.3,28,0.61,9,349.79
1307,1,1.0,18,0.96,2,214.69
2413,1,1.0,49,1.46,6,337.82
2278,3,2.5,43,2.73,8,363.22
2250,3,2.5,14,0.99,7,417.11
2307,3,2.2,56,0.59,6,379.35
1691,2,1.1,37,1.0,8,274.58
2239,4,2.9,20,1.75,5,381.07
2275,2,2.6,43,0.64,10,387.11
1671,5,3.5,50,0.8,9,346.29
3219,1,1.0,38,1.24,2,393.63
2384,5,2.6,22,0.52,6,432.07
1385,5,4.0,19,0.35,10,357.63
2493,1,1.0,41,0.23,7,367.75
1515,5,3.8,49,0.65,9,353.61
2572,3,3.3,1,0.1,5,426.15
2795,1,1.0,44,1.31,6,377.87
1607,5,3.9,31,0.29,9,385.56
2678,3,2.1,46,0.71,10,432.02
2347,3,2.4,27,0.47,6,385.3
2593,4,3.0,55,1.49,1,384.06
3238,3,2.5,3,2.85,4,498.67
1952,2,1.0,6,1.5,4,317.67
1647,1,1.0,2,1.17,3,261.18
1566,1,1.0,24,1.66,8,271.08
1610,1,2.0,47,0.1,6,275.08
2053,5,3.7,57,0.2,7,376.54
2304,5,3.9,8,0.15,9,478.79
2266,2,1.7,22,0.16,8,369.97
2596,3,2.5,22,0.45,3,441.08
2107,5,3.1,48,1.14,4,395.33
2972,3,2.7,25,0.18,1,457.15
1941,3,1.8,39,4.1,4,301.49
3732,5,4.0,17,2.89,9,598.24
2475,5,3.3,23,5.34,5,395.42
1585,2,1.4,26,0.1,3,268.51
1457,4,2.8,44,2.86,2,253.01
2389,1,1.0,1,2.44,6,362.62
1965,5,3.7,0,3.49,4,376.04
2528,5,3.9,47,1.13,6,444.94
2383,3,2.2,15,2.33,3,380.07
2056,4,3.4,42,0.1,3,389.79
1591,5,3.5,23,0.12,1,306.05
1191,4,3.2,35,0.19,9,328.47
1832,1,1.0,10,3.69,7,272.26
2613,3,3.1,25,0.1,9,462.29
2228,2,1.7,5,0.16,1,383.45
1352,1,1.0,25,4.0,8,218.43
2203,4,3.9,28,0.17,2,407.05
2331,4,3.3,42,3.06,3,386.14
1569,1,1.0,57,2.34,1,192.26
2192,4,2.9,0,0.1,7,449.65
2134,2,1.0,8,0.1,5,344.68
1414,2,1.0,26,1.15,3,246.41
2314,4,3.6,6,8.8,4,341.74
2436,4,2.6,52,3.17,10,415.98
2749,2,1.0,53,0.56,6,411.52
2732,4,3.3,2,0.73,6,493.55
1273,5,4.0,8,0.74,2,307.81
1537,3,2.8,1,1.99,7,312.9
2409,5,4.0,59,0.63,2,404.57
2408,4,4.0,9,0.24,9,454.45
2409,4,2.5,16,2.06,2,422.69
4411,3,2.1,30,0.92,5,650.35
2442,4,2.2,0,0.12,8,467.48
2781,3,1.7,57,2.34,8,424.29
2672,2,2.0,17,1.32,4,422.54
2490,3,2.4,5,1.01,7,421.91
1910,3,3.0,37,1.68,8,354.11
2555,5,3.3,40,1.06,8,479.02
1636,4,2.7,41,1.57,5,296.57
1957,2,1.8,46,3.03,10,286.76
1808,1,1.3,3,1.43,2,268.11
2149,3,1.4,39,1.62,2,324.85
3488,1,1.0,3,1.43,5,480.83
979,4,3.2,34,1.14,4,236.14
2511,3,2.6,3,0.28,4,426.79
1132,1,1.2,0,0.61,3,220.51
1816,5,3.7,40,1.77,9,364.11
2753,1,1.0,42,0.83,8,401.29
2138,5,2.8,30,0.78,4,405.29
1453,2,1.4,52,2.14,7,221.8
1670,4,2.9,54,0.1,8,339.32
2507,1,1.0,18,1.7,6,358.29
1661,3,2.7,20,1.01,2,303.23
2229,4,2.4,57,0.71,8,386.25
2127,1,1.0,29,0.62,3,319.92
1709,3,2.8,51,0.28,4,306.64
3386,3,1.9,6,0.61,4,546.82
2480,3,2.4,4,0.74,7,439.11
884,3,2.2,1,0.86,8,242.62
2211,1,1.0,50,1.67,9,339.29
1702,2,1.9,55,0.91,1,258.44
2611,5,3.9,2,2.39,1,465.4
1624,5,3.1,14,1.53,7,354.56
2031,5,3.1,38,0.32,4,365.92
2402,2,1.6,36,0.49,10,433.38
2619,3,1.8,54,0.12,8,413.61
1379,3,2.7,9,4.37,5,235.52
1899,4,3.2,8,3.26,1,340.1
1815,5,2.9,22,0.13,2,348.43
1708,5,4.0,13,1.28,10,388.31
3159,3,2.1,53,4.84,3,411.46
2342,5,3.6,59,2.06,2,378.06
1343,3,2.5,44,1.02,9,273.38
2650,3,2.2,32,0.41,7,463.37
3373,3,2.7,15,0.49,2,517.23
2719,1,1.0,19,2.0,7,383.66
1188,1,1.3,7,2.28,10,252.36
1809,1,1.1,48,1.13,1,235.36
2860,1,1.0,37,0.19,5,409.66
1675,2,1.6,33,4.07,5,233.19
2366,4,3.6,30,2.79,9,420.6
2564,4,3.3,44,0.23,4,433.44
1543,3,2.3,56,0.1,4,276.83
2064,5,4.0,7,1.15,6,425.55
500,1,1.1,24,0.5,2,133.05
1485,4,2.7,40,0.5,10,337.8
1948,4,3.1,12,0.14,6,377.98
1351,1,1.2,17,4.6,7,195.25
3079,2,1.6,49,2.66,4,428.29
1241,2,1.1,40,0.18,10,244.11
1835,4,3.1,33,3.14,9,349.63
2178,2,1.3,35,1.72,5,343.33
2964,1,1.0,49,0.59,3,374.86
1238,4,3.7,16,3.07,9,284.82
2797,1,1.1,11,1.37,1,403.77
2106,2,1.1,15,2.83,8,335.54
1511,1,1.0,12,0.95,1,234.27
2377,2,1.0,10,1.04,10,417.24
2219,2,1.5,13,0.52,8,401.3
1739,1,1.2,41,0.74,5,258.98
2141,2,1.7,54,1.26,7,357.24
1868,3,2.3,27,4.41,8,281.0
2168,1,1.8,58,1.37,1,262.67
2497,3,1.4,52,0.24,1,362.39
3051,1,1.0,50,0.1,7,429.98
1357,2,1.7,23,2.86,1,207.88
3379,2,1.9,52,0.68,4,466.81
928,4,3.5,16,0.57,6,255.96
2008,4,2.7,8,2.42,2,349.33
2452,3,1.8,45,4.36,10,360.18
2268,2,1.0,29,2.07,5,349.45
1726,4,3.2,36,0.29,10,367.39
1975,2,1.0,2,0.74,10,363.16
1804,1,1.3,53,2.14,10,275.38
1746,4,3.0,7,3.56,6,347.94
2609,3,1.9,17,9.86,5,313.04
2314,4,2.7,58,1.07,10,386.31
1684,2,1.0,29,2.59,8,263.13
2639,5,3.4,2,0.1,4,489.48
2284,5,3.5,54,0.5,8,432.09
2587,2,1.7,33,0.7,3,400.96
2477,1,1.0,58,5.57,7,318.88
1602,4,2.6,42,0.1,5,329.6
1763,5,3.1,27,0.55,5,351.2
2548,1,1.0,36,4.0,6,330.98
2466,2,1.0,24,0.55,5,352.7
2087,1,1.0,29,0.38,1,298.03
2170,2,2.1,6,1.96,9,369.0
2866,4,2.9,45,2.05,4,407.68
1745,1,1.0,28,0.96,5,307.12
2428,4,3.0,50,4.4,1,337.87
1978,1,1.0,1,0.34,3,290.96
1969,2,2.4,25,3.67,3,287.18
2759,2,1.3,40,2.11,8,431.52
2595,1,1.0,56,0.69,8,401.97
2588,2,1.2,56,2.47,9,374.05
2883,3,2.8,41,0.21,10,485.07
2112,3,1.5,50,0.21,7,374.37
2509,4,3.7,48,3.99,6,389.59
1913,3,2.1,56,0.15,8,345.97
2294,3,2.0,6,0.1,3,411.93
2021,5,3.4,17,0.74,10,413.02
2158,5,4.0,5,0.16,10,491.06
2457,5,2.9,58,2.98,10,403.47
1609,5,3.5,40,3.84,8,305.5
3355,2,1.0,39,0.99,3,466.09
1496,4,2.1,26,0.83,2,303.89
1371,4,3.7,59,1.16,9,305.6
2794,3,2.2,53,0.38,1,409.63
2574,4,2.4,53,0.53,10,448.49
2474,3,2.7,55,0.16,10,439.12
2477,4,2.8,40,0.89,2,402.72
2092,1,1.0,23,1.42,7,313.51
1561,1,1.0,32,3.99,1,184.83
2145,4,2.8,30,2.02,5,385.91
1693,2,1.0,33,1.93,9,276.56
2685,3,2.6,21,0.55,9,441.26
2011,4,2.9,23,3.29,4,338.0
1604,3,2.6,35,4.4,10,281.57
1907,5,3.5,27,4.04,2,341.71
2347,4,3.5,19,0.1,9,433.46
1761,2,1.5,17,1.39,4,301.32
1606,5,4.0,41,1.55,3,338.72
2246,4,3.5,31,0.52,3,386.19
2246,1,1.4,32,7.32,7,271.4
1795,4,3.0,9,0.52,2,319.85
1817,1,1.0,8,0.37,5,320.39
2239,1,1.0,54,0.99,2,310.53
1231,4,2.6,24,0.59,7,292.21
1255,4,4.0,12,3.87,7,259.76
1668,1,1.0,46,0.87,3,253.04
1971,3,2.7,49,0.79,3,321.25
2286,5,4.0,57,1.47,8,374.38
2985,2,1.6,44,0.13,7,464.18
2614,4,2.9,4,2.12,4,461.56
2004,5,3.7,30,2.19,2,382.24
2088,5,3.4,30,0.96,3,369.91
1498,3,2.3,33,4.68,3,201.56
2088,5,3.2,25,1.3,5,390.92
1926,4,3.4,6,1.78,7,391.8
2293,5,3.6,40,3.87,4,363.63
1603,4,2.5,50,1.65,1,248.82
2411,4,2.4,45,0.85,3,403.09
3019,1,1.0,48,0.1,3,407.58
2034,3,2.2,51,1.95,1,311.25
2341,2,1.2,19,5.02,8,337.69
2514,1,1.0,42,0.95,4,349.16
1859,2,1.7,21,0.62,5,319.88
2234,4,3.0,4,1.1,3,401.37
2107,1,1.0,11,1.96,4,308.76
2158,5,3.4,20,0.1,1,389.31
1636,5,3.1,8,3.27,4,333.91
2114,2,1.4,28,3.26,2,314.93
2398,4,3.3,26,1.17,10,438.52
2970,2,1.0,16,0.2,6,489.32
2675,3,2.0,39,1.67,2,400.46
3391,5,3.7,23,0.22,9,596.83
1639,1,1.0,26,1.06,2,258.03
2623,1,1.0,7,0.15,4,417.06
2210,1,1.9,43,1.33,4,311.97
3413,5,4.0,28,0.57,1,558.7
1615,4,2.7,18,2.67,7,335.1
1596,5,3.2,9,2.41,1,311.68
1740,5,3.9,23,9.73,8,277.78
825,1,1.0,33,0.45,3,145.81
1784,5,3.3,55,0.1,8,359.55
1644,1,1.0,59,0.88,8,249.36
2190,4,2.6,39,0.13,10,402.5
2305,3,2.3,30,0.29,10,416.12
3225,1,1.0,45,1.36,5,439.67
2670,2,2.6,50,1.35,3,391.71
1753,3,1.2,3,0.1,9,346.74
1560,4,2.7,40,0.88,1,277.69
2395,3,2.0,44,1.13,1,371.38
1307,1,1.0,30,0.47,2,203.2
3198,4,3.3,8,3.08,10,545.82
2807,2,1.4,25,0.26,6,426.77
1818,1,1.5,12,0.44,2,299.0
1072,1,1.0,56,0.26,4,187.07
2912,4,2.7,47,0.19,6,436.9
2031,4,2.3,25,3.17,2,341.77
2842,3,2.2,53,0.49,4,449.42
1143,2,1.3,0,1.92,7,237.49
1740,3,2.6,39,0.84,1,298.78
2103,3,3.2,8,1.52,9,387.21
2128,1,1.5,30,3.95,10,319.43
1829,4,2.4,23,2.79,10,388.6
2473,1,1.0,44,0.11,7,337.41
1459,2,1.9,48,2.8,9,239.64
2014,3,2.6,59,0.9,7,351.68
2172,2,2.7,21,0.65,1,367.03
2408,4,2.9,56,1.67,7,377.42
2526,4,3.0,8,4.5,9,418.27
1425,5,4.0,38,0.15,8,335.14
1179,2,1.7,22,2.19,4,204.84
2866,1,1.0,19,0.34,5,422.95
2299,2,1.0,54,0.72,3,307.69
1650,3,2.4,41,3.11,10,293.23
3030,4,3.5,20,1.18,10,514.43
2169,4,3.5,26,0.1,2,392.24
2807,2,1.1,57,1.06,3,373.96
2140,2,1.6,4,2.34,7,354.06
3336,2,1.3,16,1.13,8,491.48
3153,3,2.2,33,0.27,2,489.99
1950,3,2.7,8,0.88,9,379.19
2682,1,1.0,33,3.87,4,344.29
2487,2,1.8,9,1.61,2,377.76
2921,1,1.1,58,1.96,7,391.69
1521,5,3.4,43,2.31,2,289.41
2511,3,2.9,1,0.14,7,469.96
2735,4,2.5,46,1.31,8,446.43
1044,5,3.1,24,0.71,9,287.89
1390,4,2.8,2,0.22,1,306.13
876,5,3.3,33,0.34,2,233.5
1938,1,1.1,6,2.28,2,285.33
2530,1,2.0,27,0.26,7,383.11
3001,3,2.8,8,0.56,6,515.77
2144,4,2.6,10,0.5,9,412.59
3077,5,3.3,28,0.1,3,536.65
1271,2,2.0,53,0.93,8,238.15
1077,2,1.0,59,2.18,5,183.86
2066,3,1.8,15,0.1,5,361.29
2330,4,3.2,38,0.18,10,409.6
2080,2,1.2,28,1.91,5,296.59
859,3,2.3,12,1.35,8,272.88
2046,3,2.1,34,1.88,7,337.8
1317,4,3.0,10,0.39,7,336.81
2501,2,1.9,34,2.44,4,343.24
2319,2,1.8,46,0.98,6,360.51
1536,2,2.0,7,1.41,1,271.99
1791,1,1.1,6,0.15,6,357.01
1464,2,1.9,4,0.34,5,287.64
2062,5,3.7,5,2.23,1,373.1
2673,1,1.0,56,0.38,1,356.67
1508,1,1.0,50,0.15,3,215.41
2402,1,1.0,59,1.36,4,325.87
1781,1,1.0,34,1.19,1,251.53
1624,3,2.5,29,1.4,10,313.55
2035,5,4.0,10,1.44,7,426.37
1478,4,2.7,37,1.04,2,284.0
1767,2,1.3,26,1.02,4,303.49
1381,1,1.4,55,3.87,9,224.11
3278,4,3.1,20,1.14,8,537.2
2121,3,2.5,13,1.44,2,350.68
1680,4,2.7,48,0.47,9,319.44
2228,1,1.0,34,3.07,1,291.15
2032,5,3.1,28,0.1,6,396.64
1967,4,3.1,23,1.22,3,364.21
2468,1,1.0,35,0.73,1,356.99
2554,1,1.0,40,1.39,8,362.6
1781,2,1.8,44,0.67,6,291.45
1754,2,1.2,31,1.9,4,290.19
1934,5,3.1,5,0.1,3,408.61
718,2,1.0,9,0.78,10,218.71
1190,5,4.0,19,2.67,2,264.81
2920,3,2.2,19,0.43,5,450.49
3086,3,2.1,25,0.1,8,494.56
1950,2,1.6,20,1.03,8,326.58
2445,3,2.3,44,5.63,3,332.5
2286,4,2.7,22,0.1,9,441.88
3947,4,2.8,45,0.11,10,615.39
2771,4,3.4,11,1.36,5,470.12
2023,3,2.7,54,0.43,7,358.54
1526,4,2.6,12,0.79,9,340.31
1136,5,4.0,9,2.66,7,288.47
2222,1,1.8,6,0.33,10,420.54
1646,2,1.4,36,1.91,3,246.63
1246,5,3.6,11,1.05,2,309.19
1712,4,2.6,24,3.53,7,320.77
1451,1,1.0,1,5.42,10,210.49
3112,2,1.7,39,1.0,8,457.15
2628,5,4.0,25,1.32,4,476.95
2095,2,1.9,39,2.05,1,297.6
2987,3,2.1,50,0.58,6,435.68
2146,4,2.8,4,0.39,9,438.66
1583,5,3.4,7,5.02,4,294.47
3013,5,4.0,41,0.85,3,505.2
2423,1,1.0,44,0.1,6,399.72
1477,1,1.0,8,2.73,6,248.92
1985,1,1.0,38,1.37,4,295.6
1574,2,2.6,19,0.28,7,307.62
1270,4,2.7,51,0.1,2,240.64
2655,2,1.1,50,0.52,1,383.84
3245,4,2.8,10,3.94,6,493.06
1260,5,4.0,39,4.07,3,247.88
2437,2,2.2,21,0.56,3,412.93
1709,2,1.7,15,2.71,1,257.55
1807,2,1.9,41,0.87,2,300.86
1744,3,2.5,37,1.59,3,301.44
1581,4,2.2,41,0.61,1,278.37
2129,4,3.0,9,1.09,8,420.35
1601,2,1.3,24,0.52,6,278.96
2262,3,2.2,58,0.1,9,399.44
2069,2,1.1,18,0.23,1,345.99
1956,4,3.4,3,0.52,4,390.95
1555,5,3.8,18,5.61,4,308.07
1753,3,2.3,2,5.06,5,293.58
2553,3,2.2,16,2.64,2,402.66
2400,2,1.2,13,0.4,1,414.17
1513,5,2.9,9,0.87,9,400.05
2159,4,3.1,5,0.87,5,407.98
2550,1,1.0,30,0.73,8,392.69
1098,4,3.3,30,0.1,3,248.79
2426,4,3.0,47,1.15,4,411.74
1702,5,3.2,8,0.11,4,379.37
2442,3,1.9,52,2.43,6,354.73
1642,4,3.7,11,1.76,4,351.89
1017,3,2.4,43,0.65,5,219.83
1123,5,4.0,59,1.56,5,251.05
2128,5,4.0,45,0.4,8,425.68
2255,2,1.0,25,0.46,9,373.18
1557,1,1.0,1,0.57,8,293.83
2483,5,4.0,41,2.39,5,452.67
1103,5,3.3,3,0.35,6,304.49
2060,3,2.0,31,1.24,4,352.68
1373,5,3.5,27,0.34,2,300.43
1708,4,2.6,5,0.5,5,341.43
2128,2,1.4,29,0.4,1,325.16
1583,2,1.3,54,1.55,1,266.47
1869,4,2.8,27,1.12,1,343.97
2703,5,3.9,12,1.92,4,482.79
1753,1,1.2,54,0.37,5,256.92
2601,5,4.0,45,0.1,4,454.2
1422,2,1.6,35,1.71,6,225.87
2417,1,1.6,9,0.18,2,398.68
2964,3,2.6,9,0.42,5,493.54
617,3,2.7,4,0.55,6,219.0
1621,5,3.7,28,2.06,5,337.56
2446,5,3.6,35,1.47,6,470.2
1978,1,1.0,11,0.31,8,344.41
2322,1,1.2,57,1.37,2,300.84
1737,5,3.8,21,1.85,7,394.53
2151,2,1.2,58,0.74,6,323.02
2006,3,1.6,45,0.42,10,335.34
2800,1,1.0,38,1.7,8,377.32
2252,2,1.5,1,1.42,9,389.65
2302,5,4.0,13,0.12,8,473.82
1852,4,1.8,9,1.65,5,360.7
1807,1,1.0,59,1.01,4,238.85
1840,4,2.6,47,2.1,3,305.68
2336,2,1.7,2,0.32,10,409.85
1847,3,1.9,58,0.45,9,345.62
2273,2,1.0,7,1.18,7,397.39
3345,3,1.9,54,0.99,1,494.77
2622,2,1.1,59,0.73,3,370.0
1904,1,1.0,16,2.06,3,309.04
2820,1,1.0,3,1.25,6,415.72
1855,4,3.2,20,1.86,2,339.56
877,2,1.5,29,0.25,4,178.15
1495,2,2.0,18,1.96,2,260.12
977,4,2.8,14,0.93,5,262.23
1889,5,4.0,19,0.1,4,358.48
2111,2,1.7,57,0.4,4,336.56
3105,2,1.4,41,0.1,4,465.53
2296,2,1.8,29,0.92,4,351.02
1968,5,3.3,9,0.59,5,409.14
2597,1,1.4,22,6.57,2,281.91
773,4,2.6,23,3.04,6,192.33
2241,5,3.1,11,2.62,1,414.76
2562,3,1.5,8,1.04,10,431.27
1212,3,2.3,14,2.47,2,232.87
2786,5,3.5,28,0.47,3,460.42
2303,5,3.8,17,1.23,2,426.04
1850,1,1.0,19,0.75,3,296.36
2479,3,2.5,0,0.28,8,465.04
3462,4,3.1,2,0.11,3,575.55
2209,2,1.3,7,1.23,10,409.19
2248,2,1.8,38,0.15,1,332.31
1824,1,1.0,30,1.9,8,271.27
1590,1,1.0,46,3.82,8,214.41
2598,3,2.7,7,0.27,7,439.81
1586,4,3.6,14,0.95,4,334.88
2142,4,2.6,58,2.01,5,345.5
1813,5,4.0,21,0.51,10,416.89
2387,1,1.0,31,3.8,6,296.81
2300,2,1.9,4,3.29,6,362.15
2722,2,2.0,43,0.16,7,443.55
1793,3,2.2,43,0.1,4,325.26
1938,2,1.5,57,5.62,8,226.05
1512,4,2.9,8,4.7,2,267.53
1833,4,2.6,52,0.82,9,338.54
2326,1,1.0,40,0.1,6,351.16
2554,3,2.5,14,1.45,1,397.23
1546,2,1.9,46,0.52,1,272.64
2621,1,1.0,51,4.14,8,340.41
2913,5,3.2,43,2.37,10,498.46
2348,5,3.2,36,1.57,10,440.43
3226,2,1.4,32,0.5,7,491.62
1635,2,1.2,21,1.81,3,261.49
1353,2,2.1,50,0.51,8,268.84
1032,4,2.6,10,0.1,8,284.85
2997,2,1.8,57,1.07,7,454.98
2492,5,3.4,49,1.01,5,439.29
2066,2,1.4,5,2.16,8,349.79
2267,3,2.3,16,3.01,5,378.85
1424,5,4.0,45,0.66,1,304.48
3567,3,2.5,43,0.9,8,555.36
2177,5,3.5,56,0.95,7,401.35
2165,1,1.0,4,0.59,7,356.0
2535,5,3.6,38,2.04,2,422.4
2388,5,3.0,58,1.11,3,389.44
2234,3,2.4,57,3.68,3,327.06
1625,3,2.9,47,1.58,10,334.61
2382,5,4.0,56,0.36,6,440.55
3229,5,3.9,8,0.27,6,593.14
2907,4,3.1,28,0.7,3,490.99
3055,1,1.0,22,0.64,5,437.42
1793,1,2.1,46,0.78,9,312.52
1506,2,2.2,35,0.3,7,266.85
2024,5,4.0,30,5.74,9,362.85
2133,5,3.8,19,0.24,2,393.24
2756,5,2.6,22,1.59,10,493.5
1084,5,3.8,55,0.1,10,276.35
3017,1,1.0,6,0.78,1,444.34
2005,3,1.5,58,0.55,2,301.64
1843,4,3.2,45,0.72,6,362.2
1492,3,2.9,57,1.03,10,293.99
1107,3,2.4,35,1.38,7,214.68
2593,1,1.0,3,1.31,8,400.84
2143,4,3.2,23,1.49,6,384.99
1326,5,3.6,59,2.79,6,269.2
1322,1,1.1,13,3.27,3,222.77
1898,1,1.5,24,2.0,9,334.67
3101,4,3.0,6,0.12,2,512.42
1944,2,1.1,14,4.88,5,260.67
1198,1,1.0,43,4.42,3,135.2
1952,3,2.5,45,1.87,1,308.11
1936,3,2.6,12,1.09,2,339.02
500,5,3.9,18,0.43,6,210.78
2067,1,1.0,11,2.12,10,331.32
1961,5,3.9,47,3.15,1,348.6
2517,1,1.0,25,1.64,2,351.82
3209,4,2.6,47,1.49,10,516.38
2775,1,1.0,32,0.32,5,397.82
1938,2,1.0,14,0.66,1,301.57
1436,3,2.5,36,1.93,10,298.57
3644,4,2.9,5,0.1,4,593.21
2135,3,1.9,58,1.54,5,341.98
2108,5,3.1,24,2.18,5,396.81
2085,4,3.3,52,0.61,5,369.62
2218,2,2.0,16,0.12,10,407.8
2013,3,1.7,42,2.56,9,325.34
1755,1,1.0,58,0.23,9,280.82
1771,1,1.0,35,0.69,5,296.4
